Time,Time Code,Country Name,Country Code,"Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-64, total [SP.POP.1564.TO]","Population ages 65 and above, total [SP.POP.65UP.TO]","Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Rural population [SP.RUR.TOTL],Urban population (% of total) [SP.URB.TOTL.IN.ZS]
2004,YR2004,Japan,JPN,17857583,85503611,24399806,127761000,0.0336622582725446,350.510288065844,19624090,84.64
2004,YR2004,India,IND,373755592,699358935,53021250,1126135777,1.62103843459886,378.763475257215,800648753,28.903
2004,YR2004,Indonesia,IDN,67367094,145484849,10762706,223614649,1.38215274254694,123.436935365456,122654871,45.149
2004,YR2004,Singapore,SGP,813894,3019021,333750,4166664,1.2519166730553,6047.40783744557,0,100
2004,YR2004,"Korea, Rep.",KOR,9250718,34731974,4099827,48082519,0.396331436697806,496.617630654823,9134717,81.002
2004,YR2004,Thailand,THA,14164467,45944366,4893398,65002231,0.690476230914128,127.23332028421,41491574,36.169
2004,YR2004,Philippines,PHL,31676882,50095363,2906248,84678493,1.96361280387338,283.994006774659,45899977,45.795
2004,YR2004,Malaysia,MYS,7826512,16261879,1085718,25174109,1.9470275136045,76.621850555471,8636230,65.694
2005,YR2005,Germany,DEU,11889517,55028609,15551297,82469422,-0.0567782618352031,236.464680582636,19809155,75.98
2005,YR2005,France,FRA,11635988,41146741,10396622,63179351,0.753800831613331,115.384062298537,14449118,77.13
2005,YR2005,Spain,ESP,6241395,30118033,7293727,43653155,1.68934904712031,87.4654972049129,9925418,77.263
2005,YR2005,Switzerland,CHE,1211335,5049661,1176118,7437115,0.640601540243491,188.195632370059,1972472,73.478
2005,YR2005,Sweden,SWE,1571559,5895301,1562713,9029572,0.399942762807279,22.0050982112395,1415927,84.319
2005,YR2005,Italy,ITA,8168560,38471717,11329207,57969484,0.491389107503214,197.081267423676,18702115,67.738
2005,YR2005,United Kingdom,GBR,10859701,39850079,9691426,60401206,0.68661130607346,249.663977183483,12131582,79.915
2005,YR2005,Denmark,DNK,1014949,3583293,821190,5419432,0.275481733409308,127.726419985859,766524,85.856
2005,YR2005,Belgium,BEL,1797090,6869664,1811864,10478617,0.550055708089009,346.057364597094,272130,97.403
2005,YR2005,China,CHN,259332797,944068841,100318362,1303720000,0.588124989556992,138.867766063821,749352182,42.522
2005,YR2005,Japan,JPN,17670280,84991644,25111076,127773000,0.00939209655766336,350.543209876543,17916330,85.978
2005,YR2005,India,IND,375114219,714450930,54553525,1144118674,1.58425176621391,384.811826354858,809635580,29.235
